NAME,Stint 1,Stint 2,Stint 3,Stint 4
Sebastian Vettel,Soft (21),Soft (22),Medium (26),
Daniil Kvyat,Soft (13),Medium (20),Soft (36),
Daniel Ricciardo,Soft (21),Medium (21),Soft (22),Soft (5)
Max Verstappen,Soft (14),Soft (23),Medium (9),Soft (23)
Fernando Alonso,Soft (15),Soft (21),Medium (7),Soft (26)
Lewis Hamilton,Soft (19),Soft (23),Medium (9),Soft (18)
Romain Grosjean,Soft (14),Soft (20),Medium (8),Soft (27)
Nico Rosberg,Soft (20),Medium (22),Medium (22),Soft (5)
Jenson Button,Soft (14),Soft (21),Medium (34),
Marcus Ericsson,Soft (16),Soft (17),Medium (8),Soft (28)
Felipe Nasr,Soft (14),Soft (18),Medium (10),Soft (27)
Felipe Massa,Soft (14),Medium (15),Soft (25),Soft (15)
Valtteri Bottas,Soft (13),Soft (25),Medium (11),Soft (20)
Pastor Maldonado,Medium (25),Soft (16),Soft (28),
Roberto Merhi,Soft (6),Soft (24),Medium (37),Soft
Will Stevens,Soft (26),Soft (15),Medium (24),Soft
Carlos Sainz Jnr,Soft (15),Soft (21),Medium (24),
Kimi Raikkonen,Soft (22),Soft (21),Medium (9),Soft (3)
Sergio Perez,Soft (16),Soft (14),Medium (11),Soft (12)
Nico Hulkenberg,Soft (15),Soft (21),Medium (5),